"CustomerID","Recency","Frequency","Monetary","Cluster","CustomerGroup"
12346,325,1,77183.6,4,"Regular Customers"
12347,1,7,4310,3,"High-Value Customers"
12348,74,4,1797.24,4,"Regular Customers"
12349,18,1,1757.55,2,"Occasional Customers"
12350,309,1,334.4,1,"Inactive Customers"
12352,35,8,2506.04,4,"Regular Customers"
12353,203,1,89,1,"Inactive Customers"
12354,231,1,1079.4,1,"Inactive Customers"
12355,213,1,459.4,1,"Inactive Customers"
12356,22,3,2811.43,4,"Regular Customers"
12357,32,1,6207.67,4,"Regular Customers"
12358,1,2,1168.06,2,"Occasional Customers"
12359,57,4,6372.58,4,"Regular Customers"
12360,51,3,2662.06,4,"Regular Customers"
12361,286,1,189.9,1,"Inactive Customers"
12362,2,10,5226.23,3,"High-Value Customers"
12363,109,2,552,1,"Inactive Customers"
12364,7,4,1313.1,2,"Occasional Customers"
12365,290,2,641.38,1,"Inactive Customers"
12367,3,1,168.9,2,"Occasional Customers"
12370,50,4,3545.69,4,"Regular Customers"
12371,44,2,1887.96,4,"Regular Customers"
12372,71,3,1298.04,4,"Regular Customers"
12373,310,1,364.6,1,"Inactive Customers"
12374,24,1,742.93,2,"Occasional Customers"
12375,10,2,457.5,2,"Occasional Customers"
12377,314,2,1628.12,4,"Regular Customers"
12378,129,1,4008.62,4,"Regular Customers"
12379,81,2,852.24,4,"Regular Customers"
12380,21,4,2724.81,4,"Regular Customers"
12381,4,5,1845.31,3,"High-Value Customers"
12383,184,5,1850.56,4,"Regular Customers"
12384,28,2,585.27,2,"Occasional Customers"
12386,337,2,401.9,1,"Inactive Customers"
12388,15,6,2780.66,3,"High-Value Customers"
12390,79,1,549.84,1,"Inactive Customers"
12391,21,1,460.89,2,"Occasional Customers"
12393,71,4,1582.6,4,"Regular Customers"
12394,63,2,1272.48,4,"Regular Customers"
12395,18,12,3018.63,3,"High-Value Customers"
12397,35,2,2409.9,4,"Regular Customers"
12398,45,1,1635.66,4,"Regular Customers"
12399,118,4,1108.65,4,"Regular Customers"
12401,302,1,84.3,1,"Inactive Customers"
12402,322,1,225.6,1,"Inactive Customers"
12403,49,1,427.7,1,"Inactive Customers"
12405,148,1,1710.39,1,"Inactive Customers"
12406,21,2,3415.3,4,"Regular Customers"
12407,49,5,1708.12,4,"Regular Customers"
12408,32,5,2888.55,4,"Regular Customers"
12409,78,3,11072.67,4,"Regular Customers"
